N.,DEPA,ODS,Nombre_EPS,ID.EPS,Localidad,ID.Localidad,Ubigeo.CCPP,CCPP,ID.Reservorio,Nombre_Reservorio,X..Este....UTM,Y..Norte....UTM,Zona...UTM,Altitud,Tipo.de.Reservorio,Estado.Operativo,Observación,Antigüedad..Años.,Volumen.Reservorio..m3.,Material,Cuenta.con.tapa,Cerco.Protección,Foto_panoramica,Foto_tapa,Foto_estado,Fecha.de.fotos,Foto.Propia.de.ODS.o.de.EPS,X,Y
50,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R3,ILO,ILO,1803010001,MIRAMAR PARTE ALTA,R3,R3-Miramar,252637,8048617,19K,111,Apoyado,Opera Limitado,Falla estructural,29,1800,Concreto,NA,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R3.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/GDR/R03%20EPS%20Ilo.jpg.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/ODS%2011.07.24/R3%20Miramar%202.jpeg,Diagnostico PMO 2024,EPS,-17.635484644074833,-71.33136847499996
51,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R4,ILO,ILO,1803010001,MIRAMAR PARTE ALTA,R4,R4-Miramar en Oficinas EPS,252225,8049263,19K,67,Apoyado,Opera Limitado,"Fallas estructurales severa, hay evidencia de fugas de agua",55,2800,Concreto,NA,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R4.jpg,NA,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/ODS%2011.07.24/R4%20Miramar%201.jpeg,Diagnostico PMO 2024,EPS,-17.629604406040045,-71.33517400877037
271,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R5,ILO,ILO,1803010001,PAMPA INALAMBRICA SECTOR PMV JCM,R5,R5-Pampa Inalambrica,252595,8046864,19K,175,Elevado,Opera Normal,NA,24,900,Concreto,NA,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R5.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/GDR/R05%20EPS%20Ilo.jpg.jpeg,NA,Diagnostico PMO 2024,EPS,-17.651312083883408,-71.33196788448822
53,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R6,ILO,ILO,1803030001,PUEBLO NUEVO,R6,R6-Pacocha,252679,8051528,19K,112,Apoyado,Opera Limitado,Corrosión avanzada de fierro,56,23000,Acero,NA,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R6.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/GDR/R06%20EPS%20Ilo.jpg.jpeg,NA,Diagnostico PMO 2024,EPS,-17.609198717013108,-71.33063502024463
54,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R7,ILO,ILO,1803010001,EL ALGARROBAL Carretera al VALLE,R7,R7-Algarrobal,256814,8047300,19K,284,Apoyado,Opera Limitado,"Fallas estructurales, hay evidencia de fugas de agua",24,800,Concreto,NA,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R7.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/GDR/R07%20EPS%20Ilo.jpg.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/ODS%2011.07.24/El%20Algarrobal%201.jpeg,Diagnostico PMO 2024,EPS,-17.647840777655265,-71.29217445288008
274,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R8,ILO,ILO,1803010001,PTAP Pampa Inalambrica,R8,R8-Modulo A Pampa Inalambrica,254799,8049393,19K,201,Apoyado,Opera Normal,NA,20,900,Concreto,NA,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R8.jpg,NA,NA,Diagnostico PMO 2024,EPS,-17.62871592291096,-71.31091469841593
275,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R9,ILO,ILO,1803010001,PTAP Pampa Inalambrica,R9,R9-Modulo B Pampa Inalambrica,254771,8049408,19K,201,Apoyado,Opera Normal,NA,11,900,Concreto,NA,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R9.jpg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/TOMADAS%20POR%20ODS/GDR/R09%20EPS%20Ilo.jpg,NA,Diagnostico PMO 2024,EPS,-17.628577358282303,-71.31117670251392
276,MOQUEGUA,MOQUEGUA,EPS ILO S.A.,R10,ILO,ILO,1803010001,Miraflores Pampa Inalambrica,R10,R10-Bio Huerto Pampa Inalambrica,256123,8048149,19K,233,Apoyado,Opera Normal,NA,NA,900,Concreto,NA,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/17.-MOQUEGUA/EPS%20ILO%20S.A/FOTOS%20DEL%20%20DIAGNOSTICO%20OPERACIONAL%20PMO%20EPS/R10.jpg,NA,NA,Diagnostico PMO 2024,EPS,-17.6400970620351,-71.29858641204515
277,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40109,MARIANO MELGAR,1,R-1,232263.244,8184532.642,19K,2441,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2018 ",99,2260,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.405698566545777,-71.50685502253154
278,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40110,MIRAFLORES,2,R-2,230756.4,8185666.704,19K,2408,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",99,2000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.39528779135643,-71.52082204985551
279,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40110,MIRAFLORES,32,R-2A,230739.309,8185681.661,19K,2407,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,25,2500,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.395150792373332,-71.52098021501342
280,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40101,AREQUIPA ,3,R-3,230104.17,8184963.392,19K,2368,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2016",99,2260,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.40156627842334,-71.52700631724518
281,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,4,R-4,231637.296,8187718.224,19K,2539,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",51,830,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.376858507954797,-71.51234272461264
52,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,5,R-5,232425.071,8188395.626,19K,2598,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,51,760,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.370828503491563,-71.50489472985994
53,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40103,CAYMA ,6,R-6,228357.225,8190371.88,19K,2541,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,51,850,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.35252422811367,-71.54271754799751
284,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40103,CAYMA ,7,R-7,228565.234,8191685.44,19K,2608,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,51,600,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.340684708715496,-71.54061841868965
55,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40104,CERRO COLORADO ,8,R-8,226578.461,8191001.02,19K,2534,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,50,830,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.346640928130192,-71.55928168242512
56,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40103,CAYMA ,9,R-9,228169.083,8188597.386,19K,2461,ENTERRADO,Opera Normal,"FORMA DEL RESERVORIO: RECTANGULAR , ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",70,10000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.368528683260784,-71.54468518825799
287,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40103,CAYMA ,33,R-9A,228138.328,8188606.163,19K,2461,ENTERRADO,Opera Normal,"FORMA DEL RESERVORIO: RECTANGULAR , ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",28,10000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.368445938086232,-71.54497186049925
288,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40129,JOSE LUIS BUSTAMANTE Y RIVERO,11,R-11,231391.293,8182339.978,19K,2373,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",62,2400,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.42540364041594,-71.51526822161458
289,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40122,SOCABAYA,12,R-12,229024.888,8181363.456,19K,2346,ELEVADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",62,260,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.43395610745513,-71.53752625941037
290,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40107,JACOBO HUNTER,13,R-13,226777.967,8179992.321,19K,2320,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,62,750,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.446083320429103,-71.55871453093982
291,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40107,JACOBO HUNTER,34,R-13A,226851.647,8179140.476,19K,2318,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,28,1500,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.453784724225322,-71.55812587501624
292,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40107,JACOBO HUNTER,35,R-13B,226702.58,8180005.17,19K,2353,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,26,200,Concreto,Si,No,NA,NA,NA,NA,NA,-16.445958666865423,-71.55941849592658
293,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40129,JOSE LUIS BUSTAMANTE Y RIVERO, ,R-13C,226620.2,8179241.3,19K,2340,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,NA,800,Concreto,Si,No,NA,NA,NA,NA,NA,-16.45284772594295,-71.56027993740562
294,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40129,JOSE LUIS BUSTAMANTE Y RIVERO,14,R-14,231753.85,8180203.37,19K,2424,ELEVADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,52,250,Concreto,No,No,NA,NA,NA,NA,NA,-16.444740645670056,-71.51212375855846
54,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40110,MIRAFLORES,15,R-15,231939.29,8187106.79,19K,2506,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,62,2140,Concreto,No,Si,NA,NA,NA,NA,NA,-16.382414317634233,-71.50958819715558
55,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,16,R-16,233012.03,818445.4,19K,2469,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,52,890,Concreto,Si,Si,NA,NA,NA,NA,NA,-82.30841473730457,-87.16008027505839
297,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,17,R-17,233446.4,8183135.8,19K,2468,APOYADO,Inoperativo,FORMA DEL RESERVORIO: CIRCULAR ,49,590,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.418445897134855,-71.49594556955952
57,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,18,R-18,232883.46,8181583,19K,2450,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,52,650,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.432407130296344,-71.50139266406825
58,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40116,SABANDIA,20,R-20,233701.396,8179684.173,19K,2429,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",53,380,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.449647396754727,-71.49395747493446
300,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40104,CERRO COLORADO ,21,R-21,223652.583,8190757.791,19K,2491,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,42,1037,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.3485033068546,-71.58667734859532
301,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40104,CERRO COLORADO ,36,R-21A,223629.403,8190746.039,19K,2491,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,42,1037,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.348606775322637,-71.58689555685861
302,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40126,YANAHUARA,22,R-22,225498.048,8184378.907,19K,2299,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,41,850,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.406321908306747,-71.57017114093175
303,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40117,SACHACA  ,23,R-23,225812.535,8182159.864,19K,2276,APOYADO,Opera Normal,FORMA DEL RESERVORIO: RECTANGULAR ,64,137,Concreto,Si,No,NA,NA,NA,NA,NA,-16.426397924264112,-71.56749184357506
304,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40117,SACHACA  ,37,R-23A,225828.898,8182120.572,19K,2272,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: RECTANGULAR , ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",40,600,Concreto,Si,No,NA,NA,NA,NA,NA,-16.426754641101308,-71.56734339368488
305,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40123,TIABAYA,24,R-24,223947.401,8180550.574,19K,2184,ENTERRADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,64,750,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.440716775829202,-71.5851364793472
306,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,25,R-25,231567.109,8182745.664,19K,2385,ELEVADO,Opera Normal,"FORMA DEL RESERVORIO: CUADRADA, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",41,150,Concreto, ,No,NA,NA,NA,NA,NA,-16.421759483441384,-71.51357589907988
307,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40101,AREQUIPA ,26,R-26,229607.257,8183699.335,19K,2324,ELEVADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",39,500,Concreto, ,No,NA,NA,NA,NA,NA,-16.412926243100824,-71.5318032929268
56,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40129,JOSE LUIS BUSTAMANTE Y RIVERO,17,R-27,229854.84,8181852.16,19K,2323,ELEVADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,41,150,Concreto,No,No,NA,NA,NA,NA,NA,-16.429636363943782,-71.52970257335424
57,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40124,UCHUMAYO,28,R-28,219858.052,8179961.294,19K,2140,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,49,300,Concreto,Si,No,NA,NA,NA,NA,NA,-16.44556287862894,-71.62347448120677
310,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,29,R-29,230417.24,8187863.11,19K,2477,ENTERRADO,Opera Normal,FORMA DEL RESERVORIO: RECTANGULAR ,80,1200,Concreto,Si,No,NA,NA,NA,NA,NA,-16.375413377460834,-71.52373973324931
59,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,30,R-30,231392.032,8188434.355,19K,2542,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2020",30,1200,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.37036346930183,-71.51455428431811
60,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40129,JOSE LUIS BUSTAMANTE Y RIVERO,31,R-31,228318.519,8181767.604,19K,2308,ELEVADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",27,220,Concreto,No,No,NA,NA,NA,NA,NA,-16.430226126363937,-71.54408875057128
313,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40122,SOCABAYA,860,R-32,230502.939,8177203.567,19K,2362,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,20,1000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.471691833554136,-71.52418095306807
314,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,853,R-33,234780.289,8181306.415,19K,2562,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",19,750,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.435116062870566,-71.48367383718463
315,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40122,SOCABAYA,60,R-34,232736.82,8176719.299,19K,2413,ELEVADO,Inoperativo,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2014",19,200,Concreto, ,Si,NA,NA,NA,NA,NA,-16.47631655273716,-71.50332854771902
316,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40122,SOCABAYA,865,R-35,233096.822,8176369.304,19K,2410,ELEVADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,19,250,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.4795177688154,-71.49999947507764
317,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40122,SOCABAYA,866,R-36,232920.633,8175605.227,19K,2390,ELEVADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,19,200,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.486398690588064,-71.50173730431813
318,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40117,SACHACA, ,R-37,224653.797,8180288.414,19K,2295,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,NA,220,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.443165712612906,-71.5785574536777
319,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40110,MIRAFLORES,863,N-1,232696.98,8187054,19K,2583,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,14,50,Concreto,Si,No,NA,NA,NA,NA,NA,-16.382975558427386,-71.50250568302995
320,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40122,SOCABAYA,2,N-2,227494.286,8177539.984,19K,2290,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,10,635,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.468312126880285,-71.55230086891183
58,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,39,N-3,231486.241,8189507.098,19K,2613,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,29,600,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.36068567650357,-71.5135488396881
59,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,854,N-3B,232294.079,8189818.927,19K,2683,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,20,2000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.357959500953168,-71.5059559758042
323,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,855,N-3C,231119.296,8191040.977,19K,2653,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,20,2000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.346791684527485,-71.51680382180005
61,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,40,N-4,230683.254,8189081.988,19K,2517,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,38,1000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.364435166445748,-71.52110964620292
62,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,41,N-5,232724.56,8188591.7,19K,2635,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,38,1000,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.36909100689019,-71.5020704172763
326,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40110,MIRAFLORES,856,N-5A,233289.71,8189423.24,19K,2748,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,17,2500,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.361643767870433,-71.49668789220473
327,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40102,ALTO SELVA ALEGRE,857,N-5B,236308.8,8184593.9,19K,2740,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,14,250,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.405593697002352,-71.46899460684867
328,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40106,CHIGUATA,42,N-8,235525.3,8183468.91,19K,2652,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,38,750,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.415667821238497,-71.47645434647207
329,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,43,N-9,235195.362,8183508.734,19K,2651,APOYADO,Opera Normal,FORMA DEL RESERVORIO: CIRCULAR ,NA,240,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.415271705077313,-71.47953712495384
330,AREQUIPA,AREQUIPA,SEDAPAR  S.A.,30,AREQUIPA METROPOLITANA,30010,40112,PAUCARPATA,69,N-9A,235065.501,8184324.293,19K,2614,APOYADO,Opera Normal,"FORMA DEL RESERVORIO: CIRCULAR, ÚLTIMO MANTENIMIENTO DATA DEL 2019 ",38,750,Concreto,Si,Si,NA,NA,NA,NA,NA,-16.407891593330913,-71.48065886167095
