"","Prestador_Codigo","ubigeo_censo_17","Anio_informacion","nomprest","nomdep","nomprov","nomdist","NOM_CCPP","POBTOTAL","VIVTOTAL","densidad_pob","Latitud","Longitud","brinda_agua","brinda_alca","brinda_tar","brinda_excretas","cob_agua","cob_alca","Conex_tot_agua","Conex_tot_alca","tipo_fuente","licenciadeuso","tipo_prestador","es_formal","cobra_cuota","monto_cuota","conti_estiaje_horas","conti_avenida_horas","conti_estiaje_dias","conti_avenida_dias","tiene_sistema_cloracion","realiza_cloracion","cloro_residual_uv","tipo_agua","cloro_residual_reservorio","Ubic_APC_EPES","fuente","ambito","Prestador_Codigo_aux","ambito_prest","cuentaconlicenciavertimiento","numubs","EPS1","dentro_ambito","SECTOR","NOMEP","COD_EP","COD_LOC","COD_SECTOR","ID_LOCALID","distancia_minima","dentro_ambito_prest","info","NOMEP2","Prestador_Codigo_aux_2","ubigeo_censo_17_aux","POBTOTAL_aux"
"3025","ANCASH-CHIMBOTE-96",218020079,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DE MADGALENA NUEVA","ANCASH","SANTA","CACERES DEL PERU","MAGDALENA NUEVA",42,32,1.8455114822547,-9.001055,-78.11735667,"Si","No","No","No",NA,53.12,15,17,"Subterránea","Ninguna","OC","Si","Si",3,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218020079-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",32.4790802398518,"NO","Ambos","EPS CHAVÍN S. A.","218020079-1",218020079,42
"3026","ANCASH-CHIMBOTE-97",218070006,2019,"JUNTA ADMINISTRADORA DE AGUA POTABLE HUAMBACHO EL ARENAL","ANCASH","SANTA","SAMANCO","HUAMBACHO (EL ARENAL)",393,116,2.51715039577836,-9.2644275,-78.42513302,"Si","No","No","No",NA,0,109,0,"Subterránea","Todas","OC","No","Si",10,0.75,0.75,7,7,"Si","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","218070006-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",14.7720744455859,"NO","Ambos","SEDACHIMBOTE S. A.","218070006-1",218070006,393
"3027","ANCASH-CHIMBOTE-97",218070008,2019,"JUNTA ADMINISTRADORA DE AGUA POTABLE HUAMBACHO EL ARENAL","ANCASH","SANTA","SAMANCO","POPO",2,10,2.51715039577836,-9.279565,-78.424377,"Si","No","No","No",NA,0,1,0,"Subterránea","Todas","OC","No","Si",10,0.75,0.75,7,7,"Si","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","218070006-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",16.2256507770694,"NO","Ambos","SEDACHIMBOTE S. A.","218070006-1",218070008,2
"3028","ANCASH-CHIMBOTE-97",218070011,2019,"JUNTA ADMINISTRADORA DE AGUA POTABLE HUAMBACHO EL ARENAL","ANCASH","SANTA","SAMANCO","SANTA ROSA",163,71,2.51715039577836,-9.269775,-78.42081,"Si","No","No","No",NA,0,34,0,"Subterránea","Todas","OC","No","Si",10,0.416666666666667,0.416666666666667,7,7,"Si","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","218070006-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",15.531214616376,"NO","Unico","SEDACHIMBOTE S. A.","218070006-1",218070011,163
"3029","ANCASH-CHIMBOTE-33",218070006,2019,"MUNICIPALIDAD DISTRITAL DE SAMANCO","ANCASH","SANTA","SAMANCO","HUAMBACHO (EL ARENAL)",393,116,2.51715039577836,-9.2644275,-78.42513302,"Si","Si","Si","No",NA,93.97,0,109,"Subterránea","Todas","PM",NA,"Si",NA,NA,NA,0,0,"Si","No",0,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","218070001-1","PC","Ninguna",NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",14.7720744455859,"NO","Ambos","SEDACHIMBOTE S. A.","218070001-1",218070006,393
"3030","ANCASH-CHIMBOTE-33",218070008,2019,"MUNICIPALIDAD DISTRITAL DE SAMANCO","ANCASH","SANTA","SAMANCO","POPO",2,10,2.51715039577836,-9.279565,-78.424377,"Si","Si","Si","No",NA,10,0,1,"Subterránea","Todas","PM",NA,"Si",NA,NA,NA,0,0,"Si","No",0,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","218070001-1","PC","Ninguna",NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",16.2256507770694,"NO","Ambos","SEDACHIMBOTE S. A.","218070001-1",218070008,2
"3031","ANCASH-CHIMBOTE-33",218070011,2019,"MUNICIPALIDAD DISTRITAL DE SAMANCO","ANCASH","SANTA","SAMANCO","SANTA ROSA",163,71,2.51715039577836,-9.269775,-78.42081,"Si","Si","Si","No",NA,47.89,0,34,"Subterránea","Todas","PM",NA,"Si",NA,NA,NA,0,0,"Si","No",0,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","218070001-1","PC","Ninguna",NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",15.531214616376,"NO","Unico","SEDACHIMBOTE S. A.","218070001-1",218070011,163
"3032","ANCASH-CHIMBOTE-98",218010060,2019,"COMITÉ DE GESTIÓN DE AGUA POTABLE DEL ASENTAMIENTO HUMANO VILLA EL SALVADOR - PAMPA EL TORO","ANCASH","SANTA","CHIMBOTE","PAMPA EL TORO",271,122,3.52790323684391,-8.98647655,-78.49829755,"Si","No","No","No",NA,0,110,0,"Superficial","Ninguna","OC","No","Si",5,24,24,7,7,"No","No",NA,"Mixto",NA,"Lejano","SUNASS","Rural","218010060-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",9.84367131551988,"NO","Unico","SEDACHIMBOTE S. A.","218010060-1",218010060,271
"3033","ANCASH-CHIMBOTE-99",208010032,2019,"JUNTA DIRECTIVA DE AGUA POTABLE DE NIVIN","ANCASH","CASMA","CASMA","NIVIN",8,7,2.20349947631076,-9.53927957,-78.14023423,"Si","No","No","No",NA,0,36,0,"Subterránea","Ninguna","OC","No","No",NA,12,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","208010032-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",17.9352224962039,"NO","Ambos","SEDACHIMBOTE S. A.","208010032-1",208010032,8
"3034","ANCASH-CHIMBOTE-99",208010033,2019,"JUNTA DIRECTIVA DE AGUA POTABLE DE NIVIN","ANCASH","CASMA","CASMA","PACAE",19,14,2.20349947631076,-9.54423995,-78.14704337,"Si","No","No","No",NA,0,14,0,"Subterránea","Ninguna","OC","No","No",NA,12,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","208010032-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",17.4856751935357,"NO","Ambos","SEDACHIMBOTE S. A.","208010032-1",208010033,19
"3035","ANCASH-CHIMBOTE-100",218060003,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO MOTOCACHY","ANCASH","SANTA","NEPENA","MOTOCACHY",155,83,2.47862952067832,-9.13484833,-78.21118833,"Si","No","No","No",NA,0,80,0,"Subterránea","Todas","OC","No","Si",3,4,4,7,7,"Si","Si",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218060003-1","Rural","Ninguna",NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",29.4939837839043,"NO","Ambos","SEDACHIMBOTE S. A.","218060003-1",218060003,155
"3036","ANCASH-CHIMBOTE-101",218050005,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO QUILLHUAY","ANCASH","SANTA","MORO","QUILLHUAY",125,39,2.26821005081875,-9.09554333,-78.164245,"Si","No","No","No",NA,0,32,0,"Subterránea","Todas","OC","Si","Si",3,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050005-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",34.8640447028009,"NO","Ambos","SEDACHIMBOTE S. A.","218050005-1",218050005,125
"3037","ANCASH-CHIMBOTE-102",218050005,2019,"JUNTA ADMINISTRATIVA DE SERVICIOS DE AGUA POTABLE DE QUILLHUAY ALTO","ANCASH","SANTA","MORO","QUILLHUAY",125,39,2.26821005081875,-9.09554333,-78.164245,"Si","No","No","No",NA,0,29,0,"Subterránea","Todas","OC","No","Si",4,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050005-2","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",34.8640447028009,"NO","Ambos","SEDACHIMBOTE S. A.","218050005-2",218050005,125
"3038","ANCASH-CHIMBOTE-103",208030003,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO SAN ANDRÉS (EL TRECE)","ANCASH","CASMA","COMANDANTE NOEL","EL TRECE (SAN ANDRES)",135,67,1.44,-9.440205,-78.36521833,"Si","No","No","No",NA,0,49,0,"Subterránea","Ninguna","OC","No","Si",5,24,24,7,7,"No","No",NA,"Bombeo sin tratamiento",NA,"Cercano","SUNASS","Rural","208030003-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01401","01401SEC02","01401 - CASMA",6.18728842306758,"NO","Ambos","SEDACHIMBOTE S. A.","208030003-1",208030003,135
"3039","ANCASH-CHIMBOTE-104",218050018,2019,"xml:space=""preserve"">JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO LAREA ","ANCASH","SANTA","MORO","LARIA BAJA",31,12,2.26821005081875,-9.10163667,-78.12755333,"Si","No","No","No",NA,0,13,0,"Subterránea","Todas","OC","Si","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050009-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",33.887656107148,"NO","Ambos","EPS CHAVÍN S. A.","218050009-1",218050018,31
"3040","ANCASH-CHIMBOTE-104",218050009,2019,"xml:space=""preserve"">JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO LAREA ","ANCASH","SANTA","MORO","TOMA CHICA",55,23,2.26821005081875,-9.10605,-78.13495333,"Si","No","No","No",NA,0,28,0,"Subterránea","Todas","OC","Si","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050009-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",34.7739136897976,"NO","Unico","EPS CHAVÍN S. A.","218050009-1",218050009,55
"3041","ANCASH-CHIMBOTE-104",218050019,2019,"xml:space=""preserve"">JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO LAREA ","ANCASH","SANTA","MORO","SAN LUIS",7,11,2.26821005081875,-9.10849167,-78.14164833,"Si","No","No","No",NA,0,12,0,"Subterránea","Todas","OC","Si","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050009-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",35.5462446047082,"NO","Ambos","EPS CHAVÍN S. A.","218050009-1",218050019,7
"3042","ANCASH-CHIMBOTE-105",218050045,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO BREÑA BAJA-IZCO","ANCASH","SANTA","MORO","BREÑA BAJA (ISCO)",153,50,2.26821005081875,-9.15704167,-78.090735,"Si","No","No","No",NA,0,47,0,"Subterránea","Todas","OC","No","Si",3,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050045-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",31.6913060923203,"NO","Ambos","EPS CHAVÍN S. A.","218050045-1",218050045,153
"3043","ANCASH-CHIMBOTE-106",218050011,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DEL TAMBO","ANCASH","SANTA","MORO","TAMBO",138,45,2.26821005081875,-9.096585,-78.10177833,"Si","No","No","No",NA,0,50,0,"Subterránea","Ninguna","OC","Si","Si",3,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050011-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",31.0033436640703,"NO","Ambos","EPS CHAVÍN S. A.","218050011-1",218050011,138
"3044","ANCASH-CHIMBOTE-107",218050015,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DE HORNILLOS","ANCASH","SANTA","MORO","HORNILLOS",68,35,2.26821005081875,-9.10447833,-78.06523333,"Si","Si","Si","No",NA,100,50,43,"Subterránea","Todas","OC","Si","Si",2,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050015-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",27.2412258787868,"NO","Ambos","EPS CHAVÍN S. A.","218050015-1",218050015,68
"3045","ANCASH-CHIMBOTE-108",218010054,2019,"JUNTA DIRECTIVA DEL ASENTAMIENTO HUMANO TUPAC AMARU KM7","ANCASH","SANTA","CHIMBOTE","TUPAC AMARU (KM7)",141,59,3.52790323684391,-9.03550532,-78.54347923,"Si","No","No","No",NA,0,59,0,"Subterránea","Ninguna","OC","No","Si",10,6,6,2,2,"No","No",NA,"Bombeo sin tratamiento",NA,"Cercano","SUNASS","Rural","218010054-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",2.64487119782012,"NO","Unico","SEDACHIMBOTE S. A.","218010054-1",218010054,141
"3046","ANCASH-CHIMBOTE-109",218050007,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DE CAPTUY BAJO","ANCASH","SANTA","MORO","CAPTUY BAJO",125,45,2.26821005081875,-9.10067167,-78.18168833,"Si","Si","Si","No",NA,66.67,50,30,"Subterránea","Todas","OC","No","Si",5,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050007-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",32.898850310387,"NO","Ambos","SEDACHIMBOTE S. A.","218050007-1",218050007,125
"3047","ANCASH-CHIMBOTE-110",218010066,2019,"ASOCIACION DE USUARIOS DE AGUA POTABLE PAMPA VINZOS KM 24 - VINZOS","ANCASH","SANTA","CHIMBOTE","KILOMETRO 24",154,77,3.52790323684391,-8.86484769,-78.55853197,"Si","No","No","No",NA,0,77,0,"Subterránea","Todas","OC","No","Si",5,24,24,7,7,"Si","Si",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218010066-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",19.3898715616491,"NO","Unico","SEDACHIMBOTE S. A.","218010066-1",218010066,154
"3048","ANCASH-CHIMBOTE-111",218050031,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DE POCOS","ANCASH","SANTA","MORO","POCOS",131,57,2.26821005081875,-9.14146,-78.14349167,"Si","Si","Si","No",NA,82.46,63,47,"Subterránea","Ninguna","OC","Si","Si",2,24,24,7,7,"Si","Si",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050031-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",36.5966002079413,"NO","Ambos","EPS CHAVÍN S. A.","218050031-1",218050031,131
"3049","ANCASH-CHIMBOTE-86",218050037,2019,"JUNTA ADMINISTRADORA DEL AGUA POTABLE DE VINCHAMARCA CHICA Y HUAMBACHO","ANCASH","SANTA","MORO","HUAMBACHO",55,22,2.26821005081875,-9.15085333,-78.17967667,"Si","No","No","No",NA,0,NA,0,"Subterránea","Todas","OC","No","Si",4,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050048-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",33.0260093166607,"NO","Ambos","SEDACHIMBOTE S. A.","218050048-1",218050037,55
"3050","ANCASH-CHIMBOTE-86",218050038,2019,"JUNTA ADMINISTRADORA DEL AGUA POTABLE DE VINCHAMARCA CHICA Y HUAMBACHO","ANCASH","SANTA","MORO","VALDIVIA",4,8,2.26821005081875,-9.15028333,-78.17819833,"Si","No","No","No",NA,0,NA,0,"Subterránea","Todas","OC","No","Si",4,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050048-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",33.1837093570374,"NO","Ambos","SEDACHIMBOTE S. A.","218050048-1",218050038,4
"3051","ANCASH-CHIMBOTE-87",218050040,2019,"JUNTA ADMINISTRADORA DEL AGUA POTABLE DEL CASERIO DE HUARCOS","ANCASH","SANTA","MORO","HUARCOS",74,40,2.26821005081875,-9.14934167,-78.164125,"Si","No","No","No",NA,0,52,0,"Subterránea","Todas","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050040-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",34.7190951060355,"NO","Ambos","SEDACHIMBOTE S. A.","218050040-1",218050040,74
"3052","ANCASH-CHIMBOTE-87",218050047,2019,"JUNTA ADMINISTRADORA DEL AGUA POTABLE DEL CASERIO DE HUARCOS","ANCASH","SANTA","MORO","VINCHAMARCA GRANDE",28,13,2.26821005081875,-9.15055,-78.167465,"Si","No","No","No",NA,0,NA,0,"Subterránea","Todas","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050040-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",34.3614546996285,"NO","Ambos","SEDACHIMBOTE S. A.","218050040-1",218050047,28
"3053","ANCASH-CHIMBOTE-88",218050029,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO DE LIMONHIRCA","ANCASH","SANTA","MORO","LIMONHIRCA",148,75,2.26821005081875,-9.14295167,-78.16835667,"Si","No","No","No",NA,0,45,0,"Subterránea","Ninguna","OC","No","Si",3,2,2,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050029-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",34.2197502601753,"NO","Ambos","SEDACHIMBOTE S. A.","218050029-1",218050029,148
"3054","ANCASH-CHIMBOTE-112",218050020,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO DE CUSHIPAMPA ALTA Y BAJA","ANCASH","SANTA","MORO","SIETE HUACAS",3,4,2.26821005081875,-9.11488333,-78.180285,"Si","No","No","No",NA,0,237,0,"Subterránea","Ninguna","OC","No","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050001-3","PC",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",32.9300657514406,"NO","Ambos","SEDACHIMBOTE S. A.","218050001-3",218050020,3
"3055","ANCASH-CHIMBOTE-112",218050022,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO DE CUSHIPAMPA ALTA Y BAJA","ANCASH","SANTA","MORO","CUSHIPAMPA ALTA",46,18,2.26821005081875,-9.128565,-78.185235,"Si","No","No","No",NA,0,NA,0,"Subterránea","Ninguna","OC","No","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050001-3","PC",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",32.3405104500695,"NO","Ambos","SEDACHIMBOTE S. A.","218050001-3",218050022,46
"3056","ANCASH-CHIMBOTE-112",218050024,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO DE CUSHIPAMPA ALTA Y BAJA","ANCASH","SANTA","MORO","SAN ISIDRO",49,13,2.26821005081875,-9.137035,-78.18477333,"Si","No","No","No",NA,0,NA,0,"Subterránea","Ninguna","OC","No","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050001-3","PC",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",32.3980055109132,"NO","Unico","SEDACHIMBOTE S. A.","218050001-3",218050024,49
"3057","ANCASH-CHIMBOTE-112",218050061,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERIO DE CUSHIPAMPA ALTA Y BAJA","ANCASH","SANTA","MORO","LAS PENCAS",154,51,2.26821005081875,-9.12423667,-78.182095,"Si","No","No","No",NA,0,NA,0,"Subterránea","Ninguna","OC","No","Si",2,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050001-3","PC",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",32.692262523874,"NO","Ambos","SEDACHIMBOTE S. A.","218050001-3",218050061,154
"3058","ANCASH-CHIMBOTE-113",218050043,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DE SANTA ROSA","ANCASH","SANTA","MORO","SANTA ROSA",128,40,2.26821005081875,-9.15214833,-78.11004167,"Si","No","No","No",NA,0,44,0,"Subterránea","Todas","OC","No","Si",3,6,4,7,7,"Si","Si",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050043-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",33.4736605056979,"NO","Ambos","EPS CHAVÍN S. A.","218050043-1",218050043,128
"3059","ANCASH-CHIMBOTE-114",218050059,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CASERÍO DE ANTA","ANCASH","SANTA","MORO","ANTA",106,27,2.26821005081875,-9.24824833,-78.07385333,"Si","No","No","No",NA,0,30,0,"Subterránea","Ninguna","OC","No","No",NA,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218050059-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",33.8833244131097,"NO","Ambos","SEDACHIMBOTE S. A.","218050059-1",218050059,106
"3060","ANCASH-CHIMBOTE-115",218010064,2019,"COMITÉ DE AGUA POTABLE EL PORVENIR","ANCASH","SANTA","CHIMBOTE","PORVENIR",149,45,3.52790323684391,-8.91074275,-78.52861488,"Si","No","No","No",NA,0,30,0,"Subterránea","Ninguna","OC","No","No",NA,1.5,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218010064-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",15.3297525461308,"NO","Unico","SEDACHIMBOTE S. A.","218010064-1",218010064,149
"3061","ANCASH-CHIMBOTE-116",218010029,2019,"COMITÉ DREN ESCUELA OBRA DE ARTE LA HUACA","ANCASH","SANTA","CHIMBOTE","CASCAJAL BAJO - RURAL",187,59,3.52790323684391,-8.92858759,-78.53805457,"Si","No","No","No",NA,0,20,0,"Subterránea","Ninguna","OC","No","No",NA,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218010029-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",13.1288555594589,"NO","Unico","SEDACHIMBOTE S. A.","218010029-1",218010029,187
"3062","ANCASH-CHIMBOTE-117",218020110,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE AGUA POTABLE DE ARENAL NUEVO PROGRESO","ANCASH","SANTA","CACERES DEL PERU","ARENAL NUEVO PROGRESO",54,22,1.8455114822547,-9.08140833,-78.16074667,"Si","No","No","No",NA,0,NA,0,"Subterránea","Ninguna","OC","Si","No",NA,16,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218020110-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","10","SEDACHIMBOTE S. A.","014","01402","01402SEC10","01402 - CHIMBOTE",35.4545716733785,"NO","Ambos","SEDACHIMBOTE S. A.","218020110-1",218020110,54
"3063","ANCASH-CHIMBOTE-118",218020126,2019,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO DEL CENTRO POBLADO RURAL DE NUEVA VICTORIA","ANCASH","SANTA","CACERES DEL PERU","NUEVA VICTORIA",39,25,1.8455114822547,-9.02257333,-78.13274167,"Si","No","No","No",NA,0,30,0,"Subterránea","Ninguna","OC","Si","No",NA,24,2,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","218020126-1","Rural",NA,NA,"EPS CHAVIN S.A.","No","Reservorio rectangular de Caraz","EPS CHAVÍN S. A.","033","03302","03302SEC02","03302 - CARAZ",33.9110933651062,"NO","Ambos","EPS CHAVÍN S. A.","218020126-1",218020126,39
